5: TT=A | TEN=Phân hệ quản trị hệ thống | PATH=
6: TT=I | TEN=Modules Quản trị hệ thống | PATH=
7: TT=1 | TEN=Quản lý người dùng | PATH=http://localhost:4000/admin/tai-khoan
12: TT=2 | TEN=Quản lý cầu hình chung hệ thống | PATH=http://localhost:4000/he-thong/cau-hinh
15: TT= | TEN=Xác thực người sử dụng | PATH=
16: TT=3 | TEN=Đăng nhập hệ thống | PATH=http://localhost:4000/
17: TT=4 | TEN=Thiết lập chính sách mật khẩu | PATH=http://localhost:4000/admin/tai-khoan
18: TT=5 | TEN=Khóa tài khoản sau số lần đăng nhập sai | PATH=http://localhost:4000/admin/tai-khoan
19: TT= | TEN=Kiểm soát truy cập | PATH=
20: TT=6 | TEN=Quản lý thời gian chờ (Timeout) | PATH=http://localhost:4000/admin/timeout
21: TT=7 | TEN=Phân quyền truy cập | PATH=
22: TT=8 | TEN=Quản lý nhật ký hoạt động hệ thống (Audit Log) | PATH=
26: TT=II | TEN=Modules quản trị danh mục | PATH=
27: TT=9 | TEN=Danh mục Phân quyền chức năng | PATH=
30: TT=10 | TEN=Quản lý danh mục địa phận tỉnh | PATH=http://localhost:4000/admin/danh-muc-dia-phan
33: TT=11 | TEN=Quản lý danh mục địa phận xã | PATH=http://localhost:4000/admin/danh-muc-dia-phan
36: TT=12 | TEN=Quản lý danh mục phòng ban, trung tâm VEC | PATH=http://localhost:4000/danh-muc/phong-ban
39: TT=13 | TEN=Quản lý danh mục các tuyến cao tốc do VEC quản lý | PATH=http://localhost:4000/danh-muc/tuyen-cao-toc
42: TT=14 | TEN=Quản lý danh mục các đơn vị quản lý, khai thác, giám sát trên các tuyến | PATH=http://localhost:4000/danh-muc/don-vi
45: TT=15 | TEN=Quản lý danh mục tài sản trên tuyến | PATH=http://localhost:4000/danh-muc/tai-san
51: TT=16 | TEN=Quản lý danh mục thiết bị (thiết bị văn phòng, thiết bị CNTT và các thiết bị khác) | PATH=http://localhost:4000/danh-muc/thiet-bi
54: TT=17 | TEN=Quản lý danh mục kho vật lý | PATH=http://localhost:4000/danh-muc/kho-vat-ly
57: TT=18 | TEN=Quản lý danh mục hồ sơ tài sản đường cao tốc | PATH=http://localhost:4000/danh-muc/ho-so-tai-san
60: TT= | TEN=Quản lý danh mục đánh giá chấm điểm giám sát | PATH=
61: TT=19 | TEN=Quản lý danh mục đánh giá bảo trì | PATH=http://localhost:4000/danh-muc/danh-gia-bao-tri
64: TT=20 | TEN=Quản lý danh mục đánh giá sửa chữa | PATH=http://localhost:4000/danh-muc/danh-gia-sua-chua
67: TT=21 | TEN=Quản lý danh mục tiêu chí đánh giá vận hành | PATH=http://localhost:4000/danh-muc/tieu-chi-van-hanh
70: TT=22 | TEN=Quản lý danh mục mục sơ đồ mặt bằng | PATH=http://localhost:4000/danh-muc/so-do-mat-bang
73: TT=23 | TEN=Quản lý danh mục của các lớp tài sản | PATH=http://localhost:4000/danh-muc/lop-tai-san
76: TT=III | TEN=Quản lý tích hợp, chia sẻ | PATH=
77: TT=24 | TEN=Quản lý dịch vụ | PATH=
81: TT=25 | TEN=Theo dõi và giám sát tình trạng dịch vụ | PATH=
83: TT=26 | TEN=Quản lý cấu hình dịch vụ | PATH=
87: TT= | TEN=Chia sẻ dữ liệu dữ liệu tài sản | PATH=
88: TT=27 | TEN=Dịch vụ dữ liệu tổng hợp tài sản | PATH=
89: TT=28 | TEN=Dịch vụ dữ liệu chi tiết tài sản | PATH=
90: TT= | TEN=Chia sẻ dịch vụ bảo trì tài sản | PATH=
91: TT=29 | TEN=Dịch vụ dữ liệu bảo trì định kỳ | PATH=
92: TT=30 | TEN=Dịch vụ dữ liệu các yêu cầu theo thời gian, loại yêu cầu | PATH=
93: TT=B | TEN=Màn hình chính (Dashboard) | PATH=
94: TT=31 | TEN=Tổng hợp số lượng tài sản | PATH=
95: TT=32 | TEN=Cảnh báo tài sản sắp đến hạn thanh lý | PATH=
96: TT=33 | TEN=Cảnh báo tài sản sắp đến hạn bảo trì | PATH=
97: TT=34 | TEN=Tổng hợp tài sản đã thanh lý, thanh hủy | PATH=
98: TT=35 | TEN=Thông tin hồ sơ tài sản | PATH=
99: TT=36 | TEN=Hoạt động kiểm kê tài sản | PATH=
100: TT=37 | TEN=Tổng hợp hoạt động kiểm tra tài sản | PATH=
101: TT=38 | TEN=Cảnh báo kết quả kiểm tra bất thường | PATH=
102: TT=39 | TEN=Tiến độ thực hiện kế hoạch bảo trì | PATH=
103: TT=40 | TEN=Tài sản có lịch bảo trì định kỳ | PATH=
104: TT=41 | TEN=Tình trạng xử lý công việc sửa chữa | PATH=
105: TT=42 | TEN=Tiếp nhận và xử lý phản ánh từ hiện trường | PATH=
106: TT=43 | TEN=Phân tích xu hướng sự cố lặp lại | PATH=
107: TT=44 | TEN=Đánh giá hiệu suất công tác bảo trì | PATH=
108: TT=C | TEN=Phân hệ Quản lý tài sản trên đường cao tốc | PATH=
109: TT=I | TEN=Quản lý tài sản trên bản đồ | PATH=
110: TT=I.1 | TEN=Quản lý bản đồ nền | PATH=
111: TT=45 | TEN=Cấu hình bản đồ nền | PATH=
114: TT=46 | TEN=Thay đổi bản đồ đồ nền | PATH=
117: TT=I.2 | TEN=Quản lý lý dữ liệu 3D | PATH=
118: TT=47 | TEN=Cài đặt hiển thị 3D cho loại dữ liệu dạng điểm | PATH=
123: TT=48 | TEN=Cập nhật dữ liệu 3D trên bản đồ | PATH=
127: TT=I.3 | TEN=Quản lý lớp thông tin tài sản trên bản đồ | PATH=
128: TT=49 | TEN=Thêm lớp dữ liệu bản đồ mới | PATH=
131: TT=50 | TEN=Quản lý các lớp thông tin | PATH=
134: TT=51 | TEN=Cập nhật dữ liệu tài sản trên bản đồ | PATH=
138: TT=52 | TEN=Khai thác tài sản trên bản đồ | PATH=
144: TT=53 | TEN=Định vị tài sản theo tuyến | PATH=
145: TT=II | TEN=Quản lý thiết bị trên sơ đồ mặt bằng | PATH=http://localhost:4000/mat-bang
146: TT=54 | TEN=Thêm thông tin thiết bị trên sơ đồ mặt bằng | PATH=
150: TT=55 | TEN=Cập nhật thiết bị trên sơ đồ bằng bằng | PATH=
153: TT=56 | TEN=Khai thác tài sản, thiết bị trên sơ đồ mặt bằng | PATH=
157: TT=III | TEN=Quản lý tài sản trên bình đồ duỗi thẳng | PATH=
158: TT=57 | TEN=Hiển thị tài sản trên bình đồ duỗi thẳng | PATH=
159: TT=58 | TEN=Tìm kiếm tài sản trên bình đồ | PATH=
160: TT=59 | TEN=Xem chi tiết tài sản trên bình đồ | PATH=
161: TT=60 | TEN=Xuất dữ liệu bình đồ duỗi thẳng | PATH=
162: TT=IV | TEN=Quản lý mô hình BIM | PATH=http://localhost:4000/bim
163: TT=61 | TEN=Tích hợp mô hình BIM | PATH=
167: TT=62 | TEN=Sửa mô hình BIM | PATH=
169: TT=63 | TEN=Xóa mô hình BIM | PATH=
170: TT=64 | TEN=Quản lý phiên bản mô hình | PATH=
174: TT=65 | TEN=So sánh phiên bản mô hình | PATH=
176: TT=66 | TEN=Quản lý lớp hiển thị dữ liệu | PATH=
177: TT=67 | TEN=Công cụ đo đạc và tương tác | PATH=
178: TT=68 | TEN=Tương tác với tài sản, thiết bị | PATH=
179: TT=69 | TEN=Liên kết thông tin hồ sơ tài liệu của tài sản thiết bị | PATH=
180: TT=70 | TEN=Tìm kiếm tài sản trên mô hình | PATH=
181: TT=71 | TEN=Lọc hiển thị theo điều kiện thuộc tính | PATH=
182: TT=72 | TEN=Gắn cảnh báo/ghi chú vào đối tượng | PATH=
183: TT=73 | TEN=Trích xuất dữ liệu thống kê từ mô hình | PATH=
184: TT=V | TEN=Nghiệp vụ quản lý tài sản | PATH=
185: TT=V.1. | TEN=Quản lý thông tin tài sản | PATH=
186: TT=74 | TEN=Quản lý Biển báo | PATH=http://localhost:4000/phu-tro/bien-bao
191: TT=75 | TEN=Quản lý Cầu | PATH=http://localhost:4000/cau/lon
196: TT=76 | TEN=Quản lý Cống dân sinh | PATH=http://localhost:4000/phu-tro/cong
201: TT=77 | TEN=Quản lý Cống thoát nước | PATH=http://localhost:4000/phu-tro/cong
206: TT=78 | TEN=Quản lý Cột KM | PATH=http://localhost:4000/phu-tro/cot-km
211: TT=79 | TEN=Quản lý Cột GPMB, MLG | PATH=http://localhost:4000/phu-tro/cot-gpmb
216: TT=80 | TEN=Quản lý Dải phân cách | PATH=http://localhost:4000/phu-tro/dai-phan-cach
221: TT=81 | TEN=Quản lý Đất hạ tầng | PATH=http://localhost:4000/phu-tro/dat-ha-tang
226: TT=82 | TEN=Quản lý Đường gom | PATH=http://localhost:4000/duong-bo/duong-gom
231: TT=83 | TEN=Quản lý Giá long môn | PATH=http://localhost:4000/phu-tro/gia-long-mon
236: TT=84 | TEN=Quản lý Hàng rào bảo vệ | PATH=http://localhost:4000/phu-tro/hang-rao-bao-ve
241: TT=85 | TEN=Quản lý Hàng rào chống chói | PATH=http://localhost:4000/phu-tro/hang-rao-chong-choi
246: TT=86 | TEN=Quản lý Hầm | PATH=http://localhost:4000/ham
251: TT=87 | TEN=Quản lý Hố ga | PATH=http://localhost:4000/phu-tro/ho-ga
256: TT=88 | TEN=Quản lý Hệ thống chiếu sáng | PATH=http://localhost:4000/phu-tro/he-thong-chieu-sang
261: TT=89 | TEN=Quản lý Hệ thống điện | PATH=http://localhost:4000/phu-tro/he-thong-dien
